Review,SENTIMEN
shoppie membantuaplikasi bagusada spaylaterada spinjamharga terjangkaukualitas terjaminpokoknya shoppie aplikasi pilihansukses shoppiegooooooooooodddddddd,POSITIF
overall suka pilih otomatis kurir sedia opsi manual kota ekspedisi pegang rating buruk kirim kasi seller kena maki oknum beli erti komplain kurir ngasih rating jelek toko barang masalah kirim,POSITIF
habis diupdate baru shopee tolong baik terimakasih clear cache logout login ulang restart hp uninstall install ulang kak buka game shopee tolong bantu kak terimakasih terimakasih kaka bantu nya aplikasi shopee belanja main game shopee terimakasih respon nya cepat,POSITIF
dear shopee beli nyaman sistem pilih ekspedisi sblmnya pilih nominal ongkirnya ekspedisi shopee banyak extraongkir sdengankn toko langgan pakai tolong tiru lapak belah ntah masuk guna nggak sbg langgan keluh shopee pilih  ,POSITIF
tingkat awas jual lapak tindak jual produk layak non sni voucher cashback pakai shopeepay,POSITIF
terimakasih kk kirim cepat baju bagus baju lampu led mati bagus next order,POSITIF
enak belanja pakai shopee,POSITIF
aplikasi racun pas tanggal muda but love shopeeselalu mudah belanja,POSITIF
suka banget shope bayar pakai shopee pay enak banget gratis ongkir pokok love shopee orang enak enak banget loh belanja shopee baik logout,POSITIF
suka belanja dsni lot banget belanja merchant shopee mart mall batal dg alas,NEGATIF
sungguh sayang aplikasi wilayah jasa kurir grab gosend cek wilayah jadetabek wilayah adil bangetu maaf hny masuk moga kurir rata wilayah,NEGATIF
suka aplikasi ya verifikasi no telpku gak sms sophee sebbel deh,NEGATIF
suka bngt belanja disinitapi turun rewardnya belanja plus koin ckup bayar shopeepay dlu enggakintinya aplikasi super pelit,NEGATIF
suka kirim shopee experss suka nanya alamat marah kasih tau ngeyel mending  ramah,NEGATIF
shopee nya kadang suka eror banget banget voucher pakai,NEGATIF
suka kecewa pas gin nunggu nungguin ip nya tau tipu stok abis kecewa banget sumpah,NEGATIF
kadang suka eror buka ya malam doang,NEGATIF
pakai voucher gratis ongkir banget baca kode voucher silah masuk voucer voucher nya klaim make gitu kecuali voucher gratis ongkir shopee pay gitu guna gratis ongkir laen,NEGATIF
banget pilih jasa kirim langsung dapat acak aneh gak suka ribet balikin ky laaah,NEGATIF
maaf bintang ambil jasa kirim pilih asik banget kayak tokped dirandom gitu kalo sicepat suka banget tolong balikin kayak ubah bintang,NEGATIF
belanja hemat mantap versi nya ya karenaa gan pilih kurir turun rating nya gold member next belanja bukalapak tokopedia aja suka versi aneh kaya gin saran ya tinggal pakai ulas lengkap,NEGATIF
suka belanja sayang aplikasi shoppe jrngan nya lelet mohon baik,NEGATIF
duit shopeepaylaternya masuk otomatis gak enak buka aplikasi takut disalahgunain org dana masuk pas aju aja masuk otomatis suka liat produk gak belanja kadang ujung belanja appnya gw hapus gak enak aja temanulasan lengkap,NEGATIF
suka main shopee tanam fitur ambil air teman ajar curi teman izin sblmnya bagus siram ajar takut harta kurang games tulasan lengkap,NEGATIF
gratis ongkir cod pas chekout pakai nyari produk sesuai suka ribet sih abis lot parah sih suka hancur ni aplksi syarat kalo minimal belanja rb sih pakai jasa pengirulasan lengkap,NEGATIF
beli produk alamat didukungpdahal alamat masuk alamat lengkap tulis karakter jasa kirim sedia beli barang shopee,NEGATIF
upload produk masuk merk update gabisa mulu please jawab,NEGATIF
shopee gak nyediain gratis ongkirwaktu shopee asa suka ngasih gratis ongkir jarang belanja mahal ongkir nya aja kali shopee  nyediakan gratis ongkir biar beli gak berat ongkir,NEGATIF
kenpa suka login eror gak klik,NEGATIF
transaksi bayar tagih pln banget proses bayar jam sore jam mlm proses bayar keburu mati lampu rumah payah aju kembali dana faedah suka blnja aplikasi alamat uninstall kyak gni,NEGATIF
cashback  maskimal ribu perak cashback  maskimal edzan emang shopee kasih promo,NEGATIF
kecewa banget shopeekoin tambah berkurangsusah payah ngumpulin koinsampe rela kuota abis nonton live shopee klaim koin nyaeh tega banget rang enak nya pemberitahuankoin nya ribu tinggal rbudikurangin nya banget sampe ribupadahal pakai koin nyasungguh bener kecewa,NEGATIF
shopee sih update baru mulu diupdate kmren eh update ttep aja lot abis isi shopeepay pas belanja lola banget pdahal jaring kuota,NEGATIF
hallo shopee limit shopee paylater turunsy bayar cicil shopee bangkrut dana shopee paylateratau shopee kena corona,NEGATIF
neng belanja shopee malas voucer gratis ongkir  cashbacknya pakai shopee pay ribet,NEGATIF
tolong ya min top uo shopeepay tuh gak mesti pke rekening indo alfa gtu,NEGATIF
lambat banget shopee,NEGATIF
gak beli diamond huu aplikasi shopee pay gw mao gw tarik gak,NEGATIF
pas chekout gagal,NEGATIF
pelit gratis ongkir non shope pay,NEGATIF
suka aplikasi tidah jaman shopee shopee ramadan,NEGATIF
belanja bayar kah nya sekolah smp gak pandai tranper uang,NEGATIF
shopee nggak bener nih kembali dana sulit kasih forum diskusi shopee jelas,NEGATIF
selamat sore shopee perhati aplikasi update berat gampang praktis buka produk lambat mohon baru mudah penggunaanya fitur sekirany guna hilangkn,NEGATIF
parah download ulang blank,NEGATIF
kecewa shopee wktu beli kuota pakait aon gb harga nunggu eh pakait add on gb kampret ajuin kembali dana gak gubris wktu ngisi pulsa smartfren adekk pulsa gak sistem kirim ajuin kembali dana gak gubris parahhhhhh,NEGATIF
halo shopee akun hack orang kenal iklaskan shopee pay rp harap shopee ketat jaga privasi akun jamin aman akun guna harap akun hack korban lalai shopee terima kasih,NEGATIF
pakai shopee transaksi dulunya limit shopee pay latter bayar guna rupiah limit sunggu kecewa klau blum limit alih -commerce belah,NEGATIF
shoppe kirim cepat ongkir nya mhal mahal,NEGATIF
hadiah main aplikasi curang licik,NEGATIF
update gambar produk gabisa beli gtau dah ,NEGATIF
klaim voucher muncul muncul sesuai  sesuai kategori toko ttapi gakbisa,NEGATIF
jelek produk,NEGATIF
kesel deh kesini free ongkirnya php anggota platinum ngikutin  kapl nya update mulu,NEGATIF
tampil hasil mesin cari eror ,NEGATIF
payah aplikasi nya jalan bnyak eventtapi aplikasi susah berjlan pikir untung sematatidak pikir nyaman konsumen gak guna,NEGATIF
aplikasi transaksi,NEGATIF
saldo paylater bintang dlu fitur paylatter cicil bunga murahtapi saldo alas pandemi covid belok toko sebelahcari harga murah,NEGATIF
aplikasi lot banget sinyal full,NEGATIF
notif nya barang display stok dh lngsng check outsetelah pesan bayar stok kosongalhasil batalin pesan konfirmasi si penjuallamaaa proses nya nunggu shopee buat bmyk,NEGATIF
ya gak masuktiap kali masuk langsung,NEGATIF
transaksi indomaret indomaret bukti bayar sukses sophee nya eror pas chat agen nya janji mulu gak tindak benci banget uang ku sophee gak in ya allah ngisi langsung pudar percaya ku sophee,NEGATIF
lapor jual tipu respon ya uninstal toko online tanggung jual nya,NEGATIF
shopee capit nya sih baik nggak gue,NEGATIF
nya belanja shopee gratis ongkir gue belanja gratis gimana ni,NEGATIF
kaya da dosa terinstall teulang haduh payah kau,NEGATIF
beli pulsa shoppe batasin sih klaim voucher kalo beli pulsanyaaa,NEGATIF
kecewa banget aplikasi kembali seribet jual salah kirim barang mohon baik bikin rugi orang aja,NEGATIF
shopee jelek voucher shopeepay nggak kecewa,NEGATIF
hati kena tipu oknum data no tlp bocor kesel banget rugi juta shopee nangani kes tau sarain aktifin shopee pay later,NEGATIF
aplikasi shopee aman tipu ngehack akun shopee oranglain ambil saldo shopeepay akun shopee target yaaa org ngehack batal sen si target uang cair shopeepay langsung ambil org ngehack tipu pokok org nelpon memberitahu hadiah voucher giveaway alamat akun shopee hack tipu akn trjadi sstu akun,NEGATIF
spam melulu online internet nganggu aja klau mauain internetan modal ya iklan tv,NEGATIF
terkadang kecewa shopee guna paylater bayar data masuk team shopee tau kasih fitur shopee pinjam liat data bayar situ kecewa moga dengar saran kecewa team shopee,NEGATIF
mah cuman daftar nomor telepon daftar shopee makan uang,NEGATIF
bela hak beli bela hak jual order batal pusat diskusi batal jual batal pusat diskusi nya tunggu order enak nya jual batal sajatanpa rugi langgan shopee adil ana tunggu apa,NEGATIF
ko donglod,NEGATIF
lot voucher free ongkir tipu pas cek pakai sapipay koin kurang aplikasi pelit,NEGATIF
ngasih solusi live chet sm agen bikin emosi,NEGATIF
kecewa beli produk rusak kw tidak ori tolong tumpas toko jual barang palsu fokus layan mending beli lazada gampang kualitas jamin balas diam,NEGATIF
kecewa shopee top up shopee pay jam terima ditindaklanjuti,NEGATIF
jijik aplikasi,NEGATIF
maaf knapa aplikasi paksa suda batal kirim poko batal bayar,NEGATIF
dongkalaut,NEGATIF
ah bagus suka ngehang gunain aplikasi,NEGATIF
dikit perbaruikalau baru gak loeding,NEGATIF
log in ganti hp log in pakai nomer hp pakai facebook pakai email ribet banget,NEGATIF
top up ff shopee ketipuu,NEGATIF
shopee elek donload langsung sen bola kompan pas sampe bola bocor tambal jahit gimana donk tlong shope baik inti nyesel donload aplikasi,NEGATIF
hapus akun sulit,NEGATIF
dowload ongkirnya mahal barang rb ongkirnya rb,NEGATIF
aplikasiya jual terbesartapi masuk login akun susah layan super jelexxx susah kode otapigak ngerti masalahnyaaplikasi parahhhh,NEGATIF
cs kait pokok jelek banget cs nya,NEGATIF
kecewa shopeee tipu telpon dr shopeee suruh isi shooppay ribu isi langsung ketika uang hilang akun shopeee nya,NEGATIF
jijikdah dimasukin kode login kode salah banget si,NEGATIF
barang nya dateng kena tipu beli mahal mahal nya kena tipu,NEGATIF
shoper penipuanhati kami sulit ambil kembali danaaplikasi shopee tipu,NEGATIF
gtwshoppe maksa gw kasi nilaiya gw kasi,NEGATIF
tipu kedok kode verifikasi tolong tindak lanjut aman shopee,NEGATIF
kluar akun sandi bner ttep salah trlanjur beli barang gimana sih,NEGATIF
update fitur fontnya tetep ubah,NEGATIF
woy shopee gua kirim alamat tulis salah,NEGATIF
susah tentu alamat,NEGATIF
pilihanbarang muncul dilayarmohon bantuanyaterimakasih,NEGATIF
shopeepaylatter muncul,NEGATIF
order barangmau cancel salah pilih batal tolak barang kirim kecewa kecewa aplikasi,NEGATIF
gak daper voucher cok,NEGATIF
ngorder barang,NEGATIF
akun google gw hilang gara gara daftar shopee,NEGATIF
puas akun batas aju banding tolak kecewa customer percaya kpd shopee jadi kecewa,NEGATIF
shoping kadang gk bener sen gak anter,NEGATIF
knapa ya shopee tdak instal,NEGATIF
pilih jasa kirim sedih bikin ilfeel tingkat turun standar tinggal ya,NEGATIF
kecewa shopee opsi kirim kaya ongkir mkain mahal cari laen aja ongkir masuk akal,NEGATIF
bagus jelek aplikasi,NEGATIF
maaf bintang bintang tolong kembali pilih pilih jasa kirim,NEGATIF
pilih jasa kirim jnt sicepat dkk impactnya kirim,NEGATIF
kemarin kasih pi maaf hapus pilih jasa kirim suka yaa emang mau beli untung sistem lapang beda pi maaf pi lirik kalo rubah jalan tunggu sistem,NEGATIF
kalo bintang nol kasih bintang nol pi kecewa sistem pilih kurir kurir rumah maanaaaaaa alhasil pakait sklipun kurir lu jutex jutex kage senyum senyum belanja elu nyaman tenang takut pakaitnya seblum lu rubah sistem mnding pindah belah dehbye pee,NEGATIF
malas shopee seasik free ongkir pakai shopee pay bye ah riba tambah kirim kurir gabisa milih malas belanja online alih si hijau,NEGATIF
asli ongkirnya gede banget,NEGATIF
tolong baik performa aplikasi banget gagal proses kembali pilih layan jasa expedisi kirim random shopeenya,NEGATIF
pakait status gudang kagak gerak,NEGATIF
tolong kembali pilih jasa kirim,NEGATIF
tolong iklan lo mulu oi,NEGATIF
lelet,NEGATIF
tolong metode batal cepat yc,NEGATIF
berat banget aplikasi responsif pilih item,NEGATIF
download isi saldo shopee pay langsung beli item eh tau aplikasi ngrespon pin pilih back screen langsung notifikasi shope pay non aktif hubung cs sampe pulsa abis email respon aplikasi bobrok sistem abal customer nya ribet auto bintang,NEGATIF
shopee sistem nya cod otak ngatiknya jasa kirim kota bisamohon baik shopee ku,NEGATIF
aplikasi belanja yh download videokenapah gw masuk sih,NEGATIF
akun pakai org aku orang shopee kode sms tolong privasi aman akun tipu raja lela salah bertangung,NEGATIF
jujur aplikasi shopee jelek banget voucher gratis ongkir rebut beda tahun voucher gratis ongkir cuma kita belanja shopee butuh voucher potong ongkir nya bayar cod kalo kaya gitu mah mending pindah lazada voucher gratis ongkir diskon,NEGATIF
habis afgred lemott banget,NEGATIF
maaf kena bijak beban bunga cs solusi bijak sesal pakai paylater bunga gajelas telat bayat bunga gajelas malas ribet,NEGATIF
ovoaku senang pakai ovo,NEGATIF
aplikasi buruk temuin nya telat kali,NEGATIF
aplikasi bagus musim corona belanja rumah aja,POSITIF
shopee jelek ihh nggak gratis ongkir cod gratis ongkir alfamart indomaret malas beli shopeepay susah aja direstart susah aplikasi daftar spaylater susah banget suruh restar direstart tetep aja nggak malas,NEGATIF
suka koin kenapaa gitu mu main lagi,NEGATIF
shopeepay sekarangkok gak top up,NEGATIF
knapa ongkirnya mahal mahal banget,NEGATIF
aplikasi akhlakga buka sinyal gw bagus loading isi kuota ttapi aja bisan server gimana sihsama aja kyk aplikasi belah,NEGATIF
tolong lola aplikasiny,NEGATIF
aplikasi nya jossss pas verifikasi nomer hp muncul kode emosi,NEGATIF
gratis ongkirnya banyakin shope pay nggak nibilangnya gratis ongkir guna shope pay longo,NEGATIF
aplikasi hack shopee pay retasterus nonaktif akun shope digunakanlapor shopee tanggap,NEGATIF
belanja gratia ongkir dukung shopee,NEGATIF
shopie nya,NEGATIF
baik parah hilang uang shopeepay akun ilang gara nungguin,NEGATIF
cekout aplikasi aneh saldo ilang pas cek gak muncul koin saldo,NEGATIF
nge-scam tipu bottsssss,NEGATIF
tolong nih amged dog,NEGATIF
kecewa nahan ngantuk jam sampe jam flash sale nggak biar barang tulis eror eror eror eror dah lahh begadang nya besok gua ulang terimakasih shopee flash sale zonk nya,NEGATIF
gilir acara eror mulu check out barang,NEGATIF
jelek server eror mulu top up gagal pas,NEGATIF
update masuk keranjang checkout tinggal bayar koneksi putus gw lancar telfonan why,NEGATIF
aplikasi ngeselin emosi checout guna ya kalo beli checkout skalian bikin event kalo jual hapus aja aplikasi lot ampun update untik kalo aja parah nanggug kemarin eventnya kitin kapasitas halah tes aplikasi aja bnyk bagus kalo bagus pindah aja,NEGATIF
bigsale apaanmasak voucher diskon juta klik sendiriserver eror lahgak masuk akal tipu,NEGATIF
payah event server nya nambah buruk boro beli buka aplikasi nya aja susah bangke shopee skr ning lapak ijo,NEGATIF
balikin saldo shopee pay wngisi shopepay loginket,NEGATIF
masuk akun shopee gak sistem ganggu tolong baik,NEGATIF
pepekk kali shopee nihh pesan ukulele cowboy ukulele sen sen,NEGATIF
coba pakai paylatter nya pas check out biaya tangan eh pas bayar tagih paylatter coba cek,NEGATIF
potong jual  beli gratis ongkir nyaada gratis ongkir ribetpadahal promosi nya aja bagus sesuai kenyataanpayah,NEGATIF
free ongkir ya minnnnn,NEGATIF
assalam ualaikum kanakungedonlot shoppe lamangedonlotnya,NEGATIF
bug user experience perhati aplikasi berat,NEGATIF
instal gak,NEGATIF
jelek  sesuai iklan,NEGATIF
kecewa shope aktif shopepaymereka kembali dana rekbank bri ajukanmereka maksa usaha aktifasi shopepay daftar shopepay gagal terusjika telpon noshopee kadang ngejawab kadang diempadahaal pulsa uddah makantolong yaaa piihak shope susah tolong dana kembali,NEGATIF
hbs update upload produk ribet bnget merk suka muncul bikin kesel aj,NEGATIF
tolong voucher gratis ongkirnya shopee pay aja guna setia shopee ,NEGATIF
update mulu makan waktupenghapusan cache pengaruhupdate tuh taun mh hambat aja serba nge hang gaa updatetolong konsisten tentu meng update transaksi jual beli ribet,NEGATIF
payah kali loginnya ni,NEGATIF
payah daftar akun shope,NEGATIF
email habis selesai pesan akun hapus salah ya belanja ya lancar kecewa shopee nonaktif akun shopee,NEGATIF
gak aplikasi dlu ok skarenag gara shopeepaylater orang bayar akun batas beda akun shopee kecewa sih akun batas belanja otomatis akun kalo gaada guna shopee banyak pakai baik nyaman bikin gak nyaman banget ribet gak belanja akun batas uninstal aplikasi langsung,NEGATIF
order sulit gimana sihha syarat aja,NEGATIF
kecewa belanja pas harbolnas tiba pesan batal penjualkok shopee respon yasudah gt duit dikrmbalikan kena biaya adm konsumen rugi,NEGATIF
gratis ongkir rangin aplikasi belah tuh gratis ongkir pakai metode bayar aja ajar aja gratis ongkir pilih pilih yaa min,NEGATIF
pelit koin dpet gratis ongkir lagi gratis ongkir shopee pay doank huft malas belanja dshopee mnding aplikasi blnja aja gratis ongkirnya,NEGATIF
download unistal download ya,NEGATIF
skarenag da bebas ongkir download,NEGATIF
ingat shopee jangann google ganggu ajaaa download lagu parah aplikasi shopeeee download lagu ingat untukkk tidakk keluarrr googelchromedanbrowserrkalo iklan gamee youtube masalahhh,NEGATIF
guna shopeesangat kecewa uang shopepay hilang jutadan shopee membantudn bertanggungngapin adain shopepay uang hilangakun bobol tim shopeetibabnyk sms shopee shopee sudh amannbuat datapribadi dimna peduli moga balasannyasudh ikhlaas kn walapun uang arisan orang kasih bintang jha,NEGATIF
shope lambat ya gw pikir shope cepat ehh lambat ampunn,NEGATIF
niat instal langgan maka bnyk ngeluh instal nih aplikasi,NEGATIF
jual amanah tolong tingkat kwalitas jual nakal tolong tindak,NEGATIF
gratis ongkir,NEGATIF
shopee ajar alat dj yasar kali pesan ya tanggal sampa peyu,NEGATIF
klaim voucher gin mudah oi bangon dhuhur,NEGATIF
sumpah ya shopee gin pakai log in log in capek tau uninstal nich,NEGATIF
banyak iklan,NEGATIF
kesellll banget sm aplikasi shopee skarenag loading banget sinyal lancar pakai ytb loading lahh loading detik muncul nyari barang terus muncul alhasil aplikasi shopee dl,NEGATIF
shoppemohon depan kasih fitur hubung kirim jnt jne pembellian bayar pakait terima orang kirim hubung beli tulis nomer kecewa uang buang sia,NEGATIF
muas,NEGATIF
admin tdi instal ya tdi kaya stak gitu jln jln loh  nya tolong ya prebaikin,NEGATIF
ribet nyaman transaksi mudah guna shopeepay doang ribet mesti isi saldo,NEGATIF
pliss lot,NEGATIF
kirim pilih shopee express sameday sampe belah reguler aj - sampe,NEGATIF
hay shopeemakin berat aja sih update lemod tolong tolong banget hapus aja deh game update butuh belanja nyaman cepat berat buka aplikasi nya coba bikin shopee lite ringan emang sayang game mu nyaman belanja hp app shopee ngabisin memori buset dah marketapilace fb lite aja kalah ringan banget lot malas update,NEGATIF
shopee gak baruh gak buka shopeeuntuk cari ap,NEGATIF
hsgi,NEGATIF
akun beku salah baik apa baik beku top up shopeepay akun beku mana uang shopee ambil uang konsumen sungguh bertannggung pakai shopee transaksi ulang kali beku aplikasi tanggung,NEGATIF
ya shopee susah buka,NEGATIF
mulumau live aja ganggu,NEGATIF
shoppepay later kunci update info gak telat bayar ub cs ya tentu sesuai ngk buka donk blokir shoppelater,NEGATIF
parah bnget buka fto dagang nya lot baik aplikasi nya kaya gin,NEGATIF
cod barang antar kurir jnt shopee sanggup kurir jnt antar pakait cod cod kerjasama kurir kecewa langgan,NEGATIF
mahal barang,NEGATIF
gratis ongkir huh nggak,NEGATIF
lunas saldo spaylater dikembaliin parah si emang,NEGATIF
voucher gratis ongkir cashback gratis ongkir cashback pilih salah tau doang klik sama,NEGATIF
ka nge instal kenapaa aplikasi nya muncul hp sayah sayah brulang kali nge instal aplikasi,NEGATIF
potong rb belanja rb potongn cuman rb,NEGATIF
vouchernya pakai iklanya menganggu,NEGATIF
dah malas,NEGATIF
kirim mahal kayak vouchernya bantu,NEGATIF
maaf gin ongkir pilih ubah ongkir cek out bayar tau rubah ongkir mana milih ongkir laahh anehh tau exp cepatt langgan biar pilih exp,NEGATIF
aplikasi gede shopee problem masukin akun gimana belanja iklan mana problem mending kurang budget iklan baik aplikasi nyaa,NEGATIF
ribet ganti nomer aja ribetapa sekolah hacker biar gampang ganti nomer akun shopee,NEGATIF
kmrn neng liat aplikasi update gambar gak semangat,NEGATIF
ganti username hapus akun verifikasi ktapi beda orang ribet,NEGATIF
bangat ngunduh aplikasi,NEGATIF
lu cuman aplikasi belanja msak kudu btuh sinyal kuat lancar loading ny dkit psti update,NEGATIF
shoppe tgl pesan blm sampe pke kurir  expresparah banget kirim belanja shoppepesanan pegang kurir gak sampe,NEGATIF
jelek banget asli aplikasi nya,NEGATIF
kasih bintang shopee pay later muncul muncultemen daftar langsung muncul shopee pay later nyapayahh,NEGATIF
kecewa capek ngumpulin poin game shopee mancing nya hilang,NEGATIF
beli baju tipu shope tipu,NEGATIF
nganter nya cuman beli sepatu doang,NEGATIF
shopee pay later limit bayar telat bayar kecewaaa banget,NEGATIF
kenapaa ko pilih pengirimny ng  expres lainy ko nga add,NEGATIF
enak opsi kirim hemat reguler dllribet mahallllllllsy nyaman lamaaaapindah toko ajalahhhh,NEGATIF
bintang cok update ubah milih kurir jasa pengirimantidak gratis ongkir pilih kurir,NEGATIF
bintang kemaren,NEGATIF
jasa kirim kekang,NEGATIF
hallo min info ig  shopeeid minggu tolong care min customernya tunggu,NEGATIF
kak daftar susah ya,NEGATIF
maka aplikasi shopee emas kirim nya cepat emas kirim nya banget voucher jarang guna shopeepay aja,NEGATIF
orang heboh naik limit gw limit nol semenjak corona why gak prnh telat bayar jiiirrr,NEGATIF
auto delete kalo secret number kalah vote menit rb voted suka maklum sih brand ambasador nya wkwkwk lol the power of orang mending pakai market place aja lol,NEGATIF
nya kasi bintang beli barang posisi kerja situ stattus terima nama tolong kasi tau kurir nya titipin kluarga terima nya nama keluarga tetangga buntu nama nya skarenag barang stattus nya terima parah,NEGATIF
ampas bangetisi saldo shopeepay pay tau masuknyakeburu barang sen abissu asu,NEGATIF
kesini ongkirnya mahal harga barang ongkirnya mahal ongkirnya  voucher gratis ongkir,NEGATIF
kaga bagus shopeemasa akun bekuin belanja lagiparah,NEGATIF
kecewa aplikasi shopee tim shopee lambat selesai kendala konsumen kali konsumen komplen tanggap suka php konsumen konsumen chat komplen chat henti memberitahu mana etika kalai tim shopee,NEGATIF
paham situasi tolong jasa kirim kaya asu cari nafkah biaya loh sampe lebih barang beli alami lambat - tolong reseller,NEGATIF
si download aja ngestuck  gajelas kali download aja,NEGATIF
buka aplikasi muncul gambar aplikasi shopee ku tutup belanja ,NEGATIF
iklan panjang aplikasi,NEGATIF
jelek banget aplikasi main aja,NEGATIF
main candy crusah shopee level gimana cr main nya kunci tolong baik,NEGATIF
kecewa shopee gratis ongkir pakai ongkirnya tulis aplikasi guna klaim hadiah gratis klaim gabisa alas jaring eror padaha cekout barang aja,NEGATIF
maap ya pe shopee gin sih masak pilih ekspedisi asli kesel banget ongkir mahal ya untung kalo ketemu jnt ekspress kirim pakaik sicepat lot banget ya gin kalo milih malas order,NEGATIF
kurir shopeee ngiirim lebh eskpedisi,NEGATIF
barang free ongkir pakai voucherpas checout free eh gilir checout mlh trnyata ongkir ongkirnya mahal lanjur ngumpulin barang sen ongkirkecewa banget,NEGATIF
akun jelek vocher guna,NEGATIF
voucher gratis ongkir update dluudh update gaada gabisa boro klaim voucher nya aja iklan nya gratis ongkir beli voucher nya pakai shopee pay memory gede banget sedih akutu,NEGATIF
shopee tanam fungsi main hp lag,NEGATIF
masak cod nya cod tau aneh undi hadiah nya tipu parah,NEGATIF
hih komunitas shopee nya sabaraan,NEGATIF
ongkir gratis ongkir gratis nombok rb cancel aja jual drpd nombok,NEGATIF
shopee sebal update versi baru ttep ajah lola banget gak muncul gambar kesel ka ken order tolong baik kak nnti kasih bintang,NEGATIF
ksih bintang dlu yaa lihat depan amanah bintang mah gampang lihat kerja depan,NEGATIF
aplikasi suka ngelag gambar photo fbbrowser lancar sayang neng belanja promo ongkirlama gondok gin,NEGATIF
batal pesan,NEGATIF
knapa sih shopee ubah cinta banget huhu cod voucher gratis ongkir sulit banget,NEGATIF
sehabia update susah login ribet nih aplikasi buka maju login via fb langsung masuk skarenag kode verifikasi tunggu muncul verifikasinyaa,NEGATIF
hati hati jual eta nomor resi palsu muncul nomor lacak barang blm kirim kemas shopee fasilitas serta fitur batal beli,NEGATIF
aplk tolol belanja log-in dulupadahal log-in install,NEGATIF
shope bagus kecewa balikin sistem kyak biar beli ngegunain jasa jnt jne ku kasih bintang yak kalu sistem ku ubah bintang,NEGATIF
parah tipu toko shope pas beli voucher kirim sesuai bukti pas beli voucher jual kirim bukti transaksi aju kembali shope menang jual jual bukti transaksi kecewa,NEGATIF
kecewa shopee kecewa milih opsi kirim lama tinggal aplikasi shopee,NEGATIF
gin ya kalo kirim nya dipilihin shopee pas kena  si cepat alamat pakait hilang jnt rumah si cepat kalo nganter kalo gin deh auto uinstal shopee beli produk anter pakai jne maaf tarik bintang nya gak ngerti ide ngerubah kirim gin selamat tinggal shopee belanja kalo baik salah,NEGATIF
shopee ngk daftar bener,NEGATIF
shopee arisan buka stuck layar putih,NEGATIF
shopee tolong respon dana kembali nunggu shopee proses tolong shopee tingkat kualitas gimana woyy uang gua,NEGATIF
jelek download,NEGATIF
buruk barang sampai sblm tgl januari sampai hri tgl januari,NEGATIF
kembali dana maksimal  jam bohong dana nggak kirim,NEGATIF
kupon klaim,NEGATIF
gimana sih shopee koin ilang brusan koin ilang gapaham deh keselll,NEGATIF
maaf ya bintang kirim lelet,NEGATIF
pakai shopee express surabaya mojokerto sampai pakai  malam aja barang nggak customerku kecewa layan ya,NEGATIF
shopee asikk kait jasa kirim pilih shopee tentu kirim lamasolusinya pindah aplikasi,NEGATIF
bayar ya update install ulang,NEGATIF
verivikasi no hp gak,NEGATIF
aplikasi nya jelek nggak kaya bagus,NEGATIF
gimana si ka download ko pasang ya ulang kalitlng konfirmasi nya,NEGATIF
aplikasi kopet masak pakai beli pulsa muncul tulis penuh kuota beli har transfer bank ribet ny proses verifikasi lelet ribet dah pakai shopee,NEGATIF
shopee jelasmana pelit gratis ongkir lagikek nya pindah lapak aja,NEGATIF
isi pulsa metode bayar transfer bank status mbanking hasil status shopee bayar saldo sengaja sisain bwt isi pulsa sedot,NEGATIF
berat aja ya,NEGATIF
performa shopee turun lelet jaring bagus check out aja susah tolong maksimal,NEGATIF
belum beli pilih ekspedisi sesuai kl spt nentuin paki ekspedisi nikmatin free ongkirnya payah bijak sungguh enak beli,NEGATIF
top up free fire event seru pas top up ko ilang voucher games nya top up dimanacoba adain,NEGATIF
shopee tanam tipu ujung nya sruh beli bayar tanam ujung nya duit bayar mending langsung beli aja ngapain tanam asu,NEGATIF
ahkenapa shopee nunggu kabar kirim pesan tele updatetan yabelum pakaiaplikasi kayak abal dikit upgrade tan sih diupgrade virus tanggulasi pandemi budidaya tunggu bilang operasional corona ya shopee,NEGATIF
game shopee mancing poin nambah emang bener sih mancing mancing marah,NEGATIF
tolong jasa layan kirim antaraja buang barang gerak hari customer rugi finansial barang ambil moga shopee perhati jasa kirim barang,NEGATIF
aplikasi lot banget gabisa login coba pakai line pakai password loading pakai nomer telpon kode gamasuk mau sih tambah kali ngasih ulas aja tulis halaman baik capek tau nulis ulas masak ulang,NEGATIF
iklan nya mengangu main game,NEGATIF
metode cod tulis,NEGATIF
aplikasi shopee tipu saldo shopee pay bobol penjuallb,NEGATIF
kurir milih make kurir  milih kurir kecewa bangey shopee standar expres sampai hari sampe skrang hari sampe kecewa,NEGATIF
ribet banget kecewa,NEGATIF
shopee bagong jasa kirim hilang gratis ongkir shopee pay marah suara langgan sulit,NEGATIF
ya allah ngerti kemarin zakat via shopee dg timbang himbauan perintah kurang interaksi pilih shopee pakait orang serta nama ya bayar via transfer hasil minggu lebaran chek akun dana nambah shopee payku nila zakat ku telusur dana zakat kembali situ lemes ramadhan keluarga zakat,NEGATIF
barang diterimatapi aplikasi tunjuk barang dikirimgimna coba bikin pusing ajaribet banget nya tolong baik lagi depa,NEGATIF
kode kirim ngebug,NEGATIF
voucher gratis ongkirnya pakai,NEGATIF
kenapaaa jasa kirim gaada jnt dkk woiii sedih gabisa atur sendiripliss shopee balikin kayak ya,NEGATIF
